,Event,Dates,Location,Description
2930,Harry Potter: The Exhibition,2022-12-17,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2931,Home for the Holidays Tours at The Wren’s Nest,2022-12-17,The Wren’s Nest,Take a festive step back in time at Atlanta’s oldest house museum. For three Saturdays…
2932,Holiday Shop & Strolls,2022-12-17,Buckhead Village,Buckhead Village’s Shop & Stroll series will invite guests to enjoy an open-air dining and…
2933,Stephen Burks Shelter in Place,2022-12-17,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2934,Shine Light Show at Coolray Field,2022-12-17,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2935,Holiday Lights at Brook Run Park,2022-12-17,Brook Run Park,
2936,Claude Monet Immersive Exhibit,2022-12-17,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2937,World of Illumination,2022-12-17,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2938,Cirque Du Soleil – Kurios,2022-12-17,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2939,A Christmas Carol,2022-12-17,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
2940,Reindeer Road by World of Illumination,2022-12-17,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2941,Holiday Catering with Grecian Gyro,2022-12-17,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2942,Selfie Saturdays with Santa,2022-12-17,Ponce City Market,Dash over to The Yard at Ponce City Market for a selfie with the jolly…
2943,"Garden Lights, Holiday Nights",2022-12-17,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2944,PAW Patrol: Adventure Play,2022-12-17,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2945,Midtown Atlanta Food and Cocktail Tour,2022-12-17,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
2946,Aldabra Tortoise Wild Encounter,2022-12-17,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
2947,Deana Lawson Exhibit,2022-12-17,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2948,The Rink at Park Tavern,2022-12-17,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2949,Skate the Sky,2022-12-17,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2950,The Colors of Peace Exhibit,2022-12-17,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2951,Winter Wonderland at Fernbank,2022-12-17,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2952,Igloos on the Roof,2022-12-17,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2953,Skate the Station,2022-12-17,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2954,Giant Panda Wild Encounter,2022-12-17,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
2955,Fireside Roasting & Toasting Pods on the Yard,2022-12-17,Ponce City Market,Get warm and cozy with your nearest and dearest outside on The Yard this holiday…
2956,2022 Cricket Celebration Bowl,2022-12-17,Mercedes-Benz Stadium,The Cricket Celebration Bowl is a postseason college football game featuring the conference champions from…
2957,Elephant Wild Encounter,2022-12-17,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
2958,Misfit DIY Wrapping Co.,2022-12-17,Ponce City Market,"Come one, come all and stop by Misfit DIY Wrapping Co. to jazz up gifts…"
2959,Pet Vaccination and Microchip Clinic,2022-12-17,Furkids Animal Rescue and Shelters,Join us for our monthly Vaccination and Microchip Clinic! Our clinic is held monthly at…
2960,2nd Annual Ugly Sweater Crawl: Roswell,2022-12-17,Downtown Roswell,"Join us for the 2nd Annual Ugly Sweater Crawl! Get that Goodwill sweater, find those…"
2961,Beyond Recall (90s & Alternative Rock),2022-12-17,37 Main Buford,"Beyond Recall is a rock band from the metro Atlanta area specializing in 90s, 2000s…"
2962,CHRISTMAS EXTRAVAGANZA POPUP SHOP,2022-12-17,WEBB GINN FORUM,"ITS THE CHRISTMAS EXTRAVAGANZA POPUP SHOP! Join us Saturday, December 17th, for a Fabulous afternoon…"
2963,Holiday Tree Market in the Courtyard,2022-12-17,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2964,Holiday “In”,2022-12-17,Woodruff Arts Center – Rich Auditorium,"After the past two years of there being no place BUT home for the holidays,…"
2965,Atlanta Brewery Tour,2022-12-17,Iron Hill Brewery – Buckhead,Tour by Southern Culinary Tours! Join us as we visit three of Atlanta’s best breweries….
2966,Mingle & Jingle Christmas Bar,2022-12-17,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2967,Waking Wonderland: An Immersive Experience,2022-12-17,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2968,Terminus Student Company Presents: The Nutcracker,2022-12-17,Art Farm at Serenbe,Journey to the Land of the Sweets with Clara and Drosselmeyer! Terminus Student Company presents…
2969,Teddy Swims Live In Concert,2022-12-17,Buckhead Theatre,"Teddy Swims will perform live at Buckhead Theatre on Sat, Dec 17 at 7:35pm."
2970,Jason Isbell & Will Welch,2022-12-17,Fox Theatre,"Join American singer-songwriter, Jason Isbell, and GQ Magazine Global Editorial Director Will Welch, as they…"
2971,“In Hope for a Better Future” Art Exhibition,2022-12-17,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2972,Holiday in the Park,2022-12-17,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2973,Celebration at the Station,2022-12-17,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2974,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-17,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2975,Christmas Spectacular at Free Chapel,2022-12-17,Free Chapel Gainesville,"Kick off the Christmas season with an unforgettable live production including Christmas musical favorites, live…"
2976,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-17,Chick-fil-A College Football Hall of Fame,
2977,Atlanta Ballet – The Nutcracker,2022-12-17,Cobb Energy Performing Arts Centre,Atlanta Ballet will return to the Cobb Energy Centre stage with it’s groundbreaking production of…
2978,The Veranda Jewel Box,2022-12-17,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2979,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-17,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2980,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-17,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2981,Stranger Things: The Experience,2022-12-17,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2982,Cirque Du Soleil – Kurios,2022-12-18,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2983,Mingle & Jingle Christmas Bar,2022-12-18,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2984,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-18,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2985,Spruill Gallery Holiday Artists Market,2022-12-18,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2986,Holiday Tree Market in the Courtyard,2022-12-18,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2987,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-18,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2988,World of Illumination,2022-12-18,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2989,Harry Potter: The Exhibition,2022-12-18,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2990,PAW Patrol: Adventure Play,2022-12-18,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2991,Holiday “In”,2022-12-18,Woodruff Arts Center – Rich Auditorium,"After the past two years of there being no place BUT home for the holidays,…"
2992,Stephen Burks Shelter in Place,2022-12-18,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2993,FIFA World Cup 2022™ Watch Parties,2022-12-18,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2994,The Colors of Peace Exhibit,2022-12-18,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2995,Skate the Sky,2022-12-18,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2996,Holiday in the Park,2022-12-18,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2997,The Santa Hustle Atlanta,2022-12-18,ASW Distillery,"There will be cookies, candy, and music, and Santa is bringing coziness to the swag…"
2998,Rudolph the Red-Nosed Reindeer,2022-12-18,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2999,HoliDaze Slow Flow Yoga with Jess Pfeffer,2022-12-18,Ponce City Market,HoliDaze Slow Flow Yoga with Jess Pfeffer at Allbirds Ponce City Market J﻿oin us for…
3000,Flamenco & Paella – Holiday Edition,2022-12-18,Bravo! Venue,Celebrate the Holiday Season with Flamenco & Paella! Enjoy authentic Spanish paellas by The Spaniard…
3001,Christmas EXTRAVAGANZA Popup Shop,2022-12-18,WEBB GINN FORUM,Come shop for the holiday season with Empowered Women Empower!
3002,The Veranda Jewel Box,2022-12-18,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3003,Shine Light Show at Coolray Field,2022-12-18,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3004,WildWoods AGLOW,2022-12-18,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3005,Atlanta Ballet – The Nutcracker,2022-12-18,Cobb Energy Performing Arts Centre,Atlanta Ballet will return to the Cobb Energy Centre stage with it’s groundbreaking production of…
3006,Waking Wonderland: An Immersive Experience,2022-12-18,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3007,Midtown Atlanta Food and Cocktail Tour,2022-12-18,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3008,"Garden Lights, Holiday Nights",2022-12-18,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3009,Celebration at the Station,2022-12-18,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3010,Deana Lawson Exhibit,2022-12-18,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3011,Christmas Spectacular at Free Chapel,2022-12-18,Free Chapel Gainesville,"Kick off the Christmas season with an unforgettable live production including Christmas musical favorites, live…"
3012,Igloos on the Roof,2022-12-18,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
