,Event,Dates,Location,Description
3297,Elephant Wild Encounter,2022-12-19,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
3298,Rudolph the Red-Nosed Reindeer,2022-12-20,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3299,Claude Monet Immersive Exhibit,2022-12-20,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3300,Shine Light Show at Coolray Field,2022-12-20,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3301,Holiday in the Park,2022-12-20,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3302,The Colors of Peace Exhibit,2022-12-20,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3303,Winter Wonderland at Fernbank,2022-12-20,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3304,Holiday Catering with Grecian Gyro,2022-12-20,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3305,World of Illumination,2022-12-20,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3306,Skate the Station,2022-12-20,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3307,Celebration at the Station,2022-12-20,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3308,WildWoods AGLOW,2022-12-20,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3309,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-20,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3310,"Garden Lights, Holiday Nights",2022-12-20,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3311,Stranger Things: The Experience,2022-12-20,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3312,Reindeer Road by World of Illumination,2022-12-20,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3313,Atlanta Gladiators vs. South Carolina Stingrays,2022-12-20,Gas South Arena,
3314,The Veranda Jewel Box,2022-12-20,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3315,The Rink at Park Tavern,2022-12-20,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3316,A Christmas Carol: Reimagined,2022-12-20,Gas South Arena,A live theater performance of the classic tale of Ebenezer Scrooge presented by STORYBOOK Theater….
3317,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-20,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3318,Mingle & Jingle Christmas Bar,2022-12-20,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3319,Harry Potter: The Exhibition,2022-12-20,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3320,Winter Safari Camp,2022-12-20,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Winter Break!…
3321,Igloos on The Roof,2022-12-20,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3322,Spruill Gallery Holiday Artists Market,2022-12-20,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
3323,Stephen Burks Shelter in Place,2022-12-20,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3324,$1 Happy Hour Oysters,2022-12-20,Biggerstaff Brewing Company,
3325,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-20,Chick-fil-A College Football Hall of Fame,
3326,PAW Patrol: Adventure Play,2022-12-20,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3327,Harry Potter Trivia Series,2022-12-20,Best End Brewery,Each month we quiz fans over one book from the Harry Potter series. Try our…
3328,Waking Wonderland: An Immersive Experience,2022-12-20,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3329,Skate the Sky,2022-12-20,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3330,Holiday Lights at Brook Run Park,2022-12-20,Brook Run Park,
3331,Madrigal Singers Boar’s Head Feast,2022-12-20,Petite Violette Restaurant,Tis the season to be jolly with celebrations and music! Capitol City Opera Company’s Madrigal…
3332,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-20,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3333,Igloos on the Roof,2022-12-20,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3334,Deana Lawson Exhibit,2022-12-20,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3335,Atlanta Ballet – The Nutcracker,2022-12-20,Cobb Energy Performing Arts Centre,Atlanta Ballet will return to the Cobb Energy Centre stage with it’s groundbreaking production of…
3336,Skate the Sky,2022-12-21,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3337,Waking Wonderland: An Immersive Experience,2022-12-21,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3338,A Christmas Carol: Reimagined,2022-12-21,Gas South Arena,A live theater performance of the classic tale of Ebenezer Scrooge presented by STORYBOOK Theater….
3339,The Rink at Park Tavern,2022-12-21,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3340,Mingle & Jingle Christmas Bar,2022-12-21,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3341,Madrigal Singers Boar’s Head Feast,2022-12-21,Petite Violette Restaurant,Tis the season to be jolly with celebrations and music! Capitol City Opera Company’s Madrigal…
3342,Claude Monet Immersive Exhibit,2022-12-21,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3343,Stranger Things: The Experience,2022-12-21,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3344,Reindeer Road by World of Illumination,2022-12-21,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3345,Igloos on The Roof,2022-12-21,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3346,Fireside Roasting & Toasting Pods on the Yard,2022-12-21,Ponce City Market,Get warm and cozy with your nearest and dearest outside on The Yard this holiday…
3347,"Garden Lights, Holiday Nights",2022-12-21,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3348,The Colors of Peace Exhibit,2022-12-21,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3349,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-21,Chick-fil-A College Football Hall of Fame,
3350,The Veranda Jewel Box,2022-12-21,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3351,Misfit DIY Wrapping Co.,2022-12-21,Ponce City Market,"Come one, come all and stop by Misfit DIY Wrapping Co. to jazz up gifts…"
3352,NBA Atlanta Hawks vs. Chicago Bulls,2022-12-21,State Farm Arena,Come cheer on the Hawks as they take on the Chicago Bulls at the State…
3353,Finely Crafted: Cocktails and Comedy,2022-12-21,Atlanta,
3354,Myrna Clayton – Special Holiday Performance,2022-12-21,Rialto Center for the Arts at Georgia State University,Join us for this special holiday performance by Myrna Clayton. Audiences around the world get…
3355,Harry Potter: The Exhibition,2022-12-21,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3356,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-21,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3357,Menorah Lighting Ceremony with Chabad Intown,2022-12-21,Ponce City Market,Join Ponce City Market and Chabad Intown for a traditional menorah lighting ceremony to celebrate…
3358,Igloos on the Roof,2022-12-21,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3359,Deana Lawson Exhibit,2022-12-21,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3360,PAW Patrol: Adventure Play,2022-12-21,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3361,Cirque Du Soleil – Kurios,2022-12-21,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
3362,Holiday Catering with Grecian Gyro,2022-12-21,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3363,Stephen Burks Shelter in Place,2022-12-21,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3364,Biggerstaff Brewing Company Trivia,2022-12-21,Biggerstaff Brewing Company,"Awesome Trivia with 1st, 2nd and 3rd place prizes with Biggerstaff Brewing Company!"
3365,WildWoods AGLOW,2022-12-21,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3366,Spruill Gallery Holiday Artists Market,2022-12-21,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
3367,World of Illumination,2022-12-21,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3368,Atlanta Ballet – The Nutcracker,2022-12-21,Cobb Energy Performing Arts Centre,Atlanta Ballet will return to the Cobb Energy Centre stage with it’s groundbreaking production of…
3369,Shine Light Show at Coolray Field,2022-12-21,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3370,Winter Safari Camp,2022-12-21,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Winter Break!…
3371,Celebration at the Station,2022-12-21,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3372,Wednesday Night Laughs,2022-12-21,The Original Hot Dog Factory,Free Weekly Comedy Show 7P – 9P Hosted by More Than Cultr’s Own Kamal The…
3373,Holiday Lights at Brook Run Park,2022-12-21,Brook Run Park,
3374,Skate the Station,2022-12-21,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3375,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-21,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3376,Holiday in the Park,2022-12-21,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3377,Winter Wonderland at Fernbank,2022-12-21,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3378,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-21,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3379,Rudolph the Red-Nosed Reindeer,2022-12-21,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3380,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-22,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3381,Cirque Du Soleil – Kurios,2022-12-22,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
3382,The Colors of Peace Exhibit,2022-12-22,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3383,Reindeer Road by World of Illumination,2022-12-22,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
